group	chrom	total_SVs	num_DEL	num_DUP	num_INV	num_INS	num_BND	median_sv_len	mean_sv_len	max_sv_len	min_sv_len
case	10	638623	227153	1790	0	317323	92357	102.0	2175.2777828219473	2151387.0	1.0
case	11	645761	215991	2683	0	328598	98489	95.0	15653.954576247499	64374211.0	1.0
case	12	669670	213548	4019	0	338432	113671	89.0	1695.2343805429675	21853915.0	1.0
case	13	572705	178086	2209	0	273589	118821	80.0	605.2058215609933	1050295.0	1.0
case	14	375848	139094	1297	0	184062	51395	98.0	687.1127403127801	594214.0	1.0
case	15	355618	125289	508	0	175658	54163	94.0	531.8793950598192	1010220.0	1.0
case	16	381366	123513	1762	0	160474	95617	72.0	1540.4523545161633	9503762.0	1.0
case	17	436712	157014	2790	0	203243	73665	95.0	8926.63575568435	4956788.0	1.0
case	18	384142	139978	1206	0	185273	57685	97.0	338.55726998247167	1744832.0	1.0
case	19	409639	137560	2183	0	199968	69928	93.0	467.3151862377372	1529749.0	1.0
case	1	1026503	337909	1544	0	524672	162378	91.0	980.9955872434035	125949928.0	1.0
case	20	396654	112942	2554	0	187402	93756	82.0	3043.23163445684	15376708.0	1.0
case	21	235695	80762	413	0	126902	27618	83.0	304.8500306637523	1930536.0	1.0
case	22	241784	81768	407	0	128798	30811	97.0	492.06785985764634	827835.0	1.0
case	2	1014179	372918	3320	0	476929	161012	88.0	556.3417286932605	4627398.0	1.0
case	3	785981	279802	3814	0	375942	126423	88.0	68099.09776536313	54676908.0	1.0
case	4	822819	357111	2017	0	380008	83683	108.0	742.5893585052158	71922341.0	1.0
case	5	759907	303165	2482	0	312333	141927	88.0	727.3580966765966	8547304.0	1.0
case	6	840116	311003	2312	0	425097	101704	106.0	5223.952981989092	2874831.0	1.0
case	7	818828	322968	1898	0	375797	118165	93.0	3761.241787066767	81594529.0	1.0
case	8	619649	249719	1610	0	303793	64527	107.0	811.9079885594765	32525395.0	1.0
case	9	552467	191283	1215	0	297261	62708	102.0	3925.0379515307745	91228980.0	1.0
case	M	28	0	0	0	17	11	1.0	1.0	1.0	1.0
case	X	492635	181735	2870	0	234798	73232	88.0	683.5720702795999	19222206.0	1.0
case	Y	2718	1	0	0	0	2717	1.0	1.0338484179543783	93.0	1.0
control	10	1977645	695357	6908	0	977146	298234	102.0	2874.2078482063102	20888852.0	1.0
control	11	1992612	662370	10443	0	1002369	317430	95.0	24716.53701392295	64374157.0	1.0
control	12	2088139	666514	16378	0	1033566	371681	90.0	1799.1468820767486	61678232.0	1.0
control	13	1774810	541172	8392	0	837579	387667	79.0	938.4533831795488	71811777.0	1.0
control	14	1152317	425354	4242	0	560757	161964	98.0	772.1127034266626	15155303.0	1.0
control	15	1096633	380636	1942	0	537532	176523	93.0	737.5305650162552	37823683.0	1.0
control	16	1191508	382253	6550	0	493659	309046	72.0	2750.084411462881	9503774.0	1.0
control	17	1379927	501365	11941	0	621436	245185	98.0	16404.010431635863	4956844.0	1.0
control	18	1192059	431254	5367	0	567728	187710	97.0	429.91662542394727	25437386.0	1.0
control	19	1277137	427677	8867	0	614900	225693	94.0	508.11548418252255	1362959.0	1.0
control	1	3176535	1031443	7736	0	1607125	530231	90.0	1253.6601850567927	99554357.0	1.0
control	20	1260423	362908	11569	0	577704	308242	82.0	4891.811796344579	29575304.0	1.0
control	21	728390	249728	1991	0	389179	87492	85.0	397.32066040465605	1930536.0	1.0
control	22	754637	255504	1836	0	396475	100822	100.0	543.6880643429943	864396.0	1.0
control	2	3123131	1135912	11952	0	1463027	512240	88.0	631.5880827121908	13703906.0	1.0
control	3	2438578	858759	15857	0	1153697	410265	89.0	125501.1237973472	54676963.0	1.0
control	4	2531457	1089297	8868	0	1162382	270910	108.0	741.8351884424048	28215017.0	1.0
control	5	2350422	923823	10824	0	956528	459247	88.0	883.8916640130418	8547524.0	1.0
control	6	2579238	950786	7554	0	1296812	324086	107.0	5524.799340813249	2875071.0	1.0
control	7	2416923	953540	5629	0	1109210	348544	93.0	3701.5264632572434	82825082.0	1.0
control	8	1823437	735543	4688	0	893799	189407	107.0	710.098990712728	1495044.0	1.0
control	9	1630416	562880	3599	0	878620	185317	102.0	3680.177841552022	91228980.0	1.0
control	M	53	0	2	0	24	27	1.0	1143.4137931034484	16566.0	1.0
control	X	1458860	536575	8359	0	695177	218749	88.0	674.3778799831647	12333685.0	1.0
control	Y	7935	9	0	0	1	7925	1.0	1.0999495840685656	93.0	1.0
