group	chrom	total_SVs	num_DEL	num_DUP	num_INV	num_INS	num_BND	median_sv_len	mean_sv_len	max_sv_len	min_sv_len
gnomad	10	96755	55825	12564	92	13719	13856	509.0	373106.48179422255	130182128	1
gnomad	11	95690	55968	12357	98	13832	12720	544.0	279009.8611976173	127338873	1
gnomad	12	97655	56554	12045	114	14667	13633	533.0	596739.4310378373	131465502	1
gnomad	13	63839	36545	8104	88	11358	7213	504.0	192601.17661617507	79483933	1
gnomad	14	67004	37189	7909	62	10197	11211	575.0	366461.7506865262	85390328	1
gnomad	15	56021	33572	6917	48	8691	6367	567.0	240017.67895967583	74106914	1
gnomad	16	70635	44427	10197	54	6937	8559	594.0	277534.09615629644	89418850	1
gnomad	17	70925	45471	9627	56	8025	7274	583.0	244166.79932322877	79350639	1
gnomad	18	48740	29442	6370	31	8458	4094	524.0	132145.69952810832	77932643	1
gnomad	19	68905	45943	9184	46	5125	8203	615.0	158779.7360133517	58338230	1
gnomad	1	182804	93694	20432	177	24111	43005	432.0	1049921.1940329534	248764673	1
gnomad	20	45724	28917	6408	55	6349	3690	560.0	112822.6698014172	60880407	1
gnomad	21	32630	19629	5106	33	4177	3467	514.0	76755.18069261416	39354625	1
gnomad	22	33812	21948	5198	16	3415	3009	569.0	87915.67582515083	30553306	1
gnomad	2	183107	91973	21110	163	26501	41895	408.0	1099123.7707624503	242173089	1
gnomad	3	141594	73613	15293	165	21969	29516	425.0	799425.6492436121	198163002	1
gnomad	4	134912	70137	15049	178	22151	26283	399.0	749332.3292220114	190194375	1
gnomad	5	126586	67771	14653	151	19792	23190	445.0	515256.6988687533	173812951	1
gnomad	6	125746	66937	14391	158	19431	23876	471.0	561574.4755538944	167069190	1
gnomad	7	131866	72548	17071	136	17509	23606	527.0	604837.5692521196	154796128	1
gnomad	8	101224	56780	12042	115	15611	15897	467.0	322175.797261519	134193775	1
gnomad	9	87748	50431	11129	90	12578	12938	528.0	359564.64284086245	137140451	1
gnomad	X	78076	47239	12811	66	9760	7489	618.0	775573.555945489	156009866	1
gnomad	Y	12488	3725	3359	1	282	5044	5395.0	1935600.9394618834	46173852	50
